2022/03/13,-,NL01PFMB0000000003,125.00 
2022/03/13,NL01PFMB0000000003,-,200.00 
2022/03/13,-,NL01PFMB0000000003,50.00 
2022/03/13,NL01PFMB0000000003,-,50.00 
2022/03/13,NL01PFMB0000000003,NL01PFMB0000000007,50000.00 
2022/03/13,-,NL01PFMB0000000004,400,00 
2022/03/13,NL01PFMB0000000004,-,20,00 
2022/03/13,NL01PFMB0000000004,NL01PFMB0000000005,3500,00 
2022/03/15,-,NL01PFMB0000000004,700,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000006,700,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000008,100,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000007,10,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000007,10,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000007,20,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000008,1,01 
2022/03/15,-,NL01PFMB0000000004,4000,00 
2022/03/15,NL01PFMB0000000004,-,300,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000003,0,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000003,0,00 
2022/03/15,NL01PFMB0000000004,NL01PFMB0000000003,500,00 
